r1.time,r1.pontos,r1.vitorias,r1.empates,r1.derrotas,r1.golsPro,r1.golsContra,r1.saldoGols,r1.posicaoAtual,r2.time,r2.pontos,r2.vitorias,r2.empates,r2.derrotas,r2.golsPro,r2.golsContra,r2.saldoGols,r2.posicaoAtual,r1.ultima
Bahia,12,3,3,2,12,13,-1,7,Grêmio,11,2,5,1,7,6,1,10,-1
Athletico-PR,10,3,1,4,8,8,0,11,Botafogo,8,1,5,2,7,9,-2,16,0
Fortaleza,8,2,2,4,8,8,0,15,Sport,10,3,1,4,8,10,-2,13,1
Goiás,4,1,1,6,8,15,-7,20,Coritiba,7,2,1,5,4,8,-4,17,0
Fluminense,11,3,2,4,10,12,-2,12,Corinthians,10,2,4,3,11,12,-1,15,1
Botafogo,9,1,6,2,8,10,-2,17,Vasco,15,4,3,2,13,8,5,6,-1
Palmeiras,17,4,5,0,12,7,5,4,Sport,10,3,1,5,8,11,-3,13,0
Santos,14,4,2,3,12,10,2,7,São Paulo,17,5,2,2,13,9,4,2,0
Atlético-MG,15,5,0,4,12,10,2,5,Bragantino,7,1,4,4,9,14,-5,19,1
Grêmio,14,3,5,1,9,6,3,8,Fortaleza,11,3,2,4,9,8,1,10,0
Bahia,12,3,3,3,12,15,-3,9,Atlético-GO,10,2,4,3,8,11,-3,16,-1
Athletico-PR,11,3,2,4,9,9,0,11,Coritiba,8,2,2,5,7,11,-4,18,1
Ceará,10,3,1,5,8,12,-4,14,Flamengo,17,5,2,2,13,11,2,3,1
Goiás,5,1,2,6,11,18,-7,20,Inter-RS,20,6,2,1,15,5,10,1,1
Flamengo,17,5,2,3,13,13,0,6,Goiás,8,2,2,6,12,18,-6,19,1
Botafogo,9,1,6,3,10,13,-3,17,Santos,15,4,3,3,14,12,2,7,0
São Paulo,18,5,3,2,15,11,4,4,Athletico-PR,14,4,2,4,10,9,1,9,1
Bragantino,7,1,4,5,10,16,-6,20,Ceará,13,4,1,5,10,12,-2,11,1
Corinthians,10,2,4,4,12,14,-2,16,Bahia,12,3,3,4,12,16,-4,14,1
Grêmio,15,3,6,1,10,7,3,8,Palmeiras,18,4,6,0,14,9,5,5,0
Sport,11,3,2,5,10,13,-3,15,Fluminense,14,4,2,4,12,13,-1,10,1
Coritiba,8,2,2,6,7,12,-5,18,Vasco,18,5,3,2,16,10,6,3,1
